type;lat;lon;address;n;services;fuel;region
2;48.636992;42.872686;Волгоградская область,  Суровикинский район, автодорога Волгоград-Кишинев,  132 км ;271;wc, mag, glass, pum, cls;dt, ai98, ai95, ai92;4
1;48.752216;44.529321;Волгоградская область, город Волгоград, Краснооктябрьский район, улица Черноярская, 100 Б;272; mag, cafe, glass, pum, cls;ai98, ai95, ai92;4
1;48.753662;44.52499;Волгоградская область, город Волгоград, Дзержинский район, улица Землячки, 80 А;273;wc, cls;dt, ai95, ai92;4
1;48.764301;44.513532;Волгоградская область, город Волгоград, улица им. Землячки, 39 Б;274;wc, mag, glass, pum, cls;dt,  ai95, ai92;4
1;48.759136;44.786246;Волгоградская область,  город Волжский, проспект Ленина, 308 Д;275;wc, mag, glass, pum, cls;ai98, ai95, ai92;4
1;48.70574;44.495922;Волгоградская область, город Волгоград, улица Симбирская, 1 Б;276; mag, pum, cls;dt, ai98, ai95, ai92;4
1;48.557294;44.443245;Волгоградская область, город Волгоград, улица Лазоревая, 358;277;wc, mag, glass, pum, cls;dt, ai95, ai92;4
1;48.796247;44.764981;Волгоградская область, город Волжский, улица Пушкина, 18 Б;278;wc, mag,  glass, pum, cls;ai95, ai92;4
2;48.942248;44.231042;Волгоградская область, Городищенский район, автодорога Москва-Волгоград Каспий, 933 км, +700 м справа ;279;wc, mag, glass, pum, cls;dt, ai98, ai95, ai92;4
1;48.77986;44.519176;Волгоградская область, город Волгоград, улица Менделеева, 161;306;wc, mag, glass, pum, cls;dt, ai95, ai92;4
1;48.806067;44.608617;Волгоградская область, город Волгоград, проспект Ленина, 142;307;wc, mag, cafe, glass, pum, cls; dt, ai95, ai92;4
1;48.737656;44.504111;Волгоградская область, город Волгоград, улица Качинцев, 59/1;308;wc, mag, cafe, glass, pum, cls;dt, ai95, ai92;4
1;48.704036;44.482353;Волгоградская область, город Волгоград, улица Череповецкая, 5 А;309;wc, mag, glass, pum, cls;ai98, ai95, ai92;4
1;48.632398;44.429413;Волгоградская область, город Волгоград, улица 64-й Армии, 58;310;wc, mag, cafe, glass, pum, cls;dt, ai95, ai92;4
1;48.786478;44.567143;Волгоградская область, город Волгоград, улица Еременко, 35 Б;311;wc, mag, glass, pum, cls;dt, ai95, ai92;4
1;48.764505;44.78493;Волгоградская область, город Волжский, проспект Ленина, 308 А;312;wc, mag, glass, pum, cls;dt, ai95, ai92;4
1;48.629525;44.426709;Волгоградская область, город Волгоград, улица 64-й Армии, 147;313;wc, mag, cafe, glass, pum, cls;dt, ai95, ai92, ai98;4
1;48.521512;44.495667;Волгоградская область, город Волгоград, улица Лазоревая, 163 Г;314;wc, mag, cafe, glass, pum, cls;dt,  ai95, ai92;4
1;48.70326;44.456468;Волгоградская область, город Волгоград, улица Саши Филиппова, 106;315;wc, mag, cafe, glass, pum, cls;dt, ai95, ai92, ai98;4
1;48.68579;44.480605;Волгоградская область, город Волгоград, улица Рабоче-Крестьянская, 48 Д;316;wc, mag, cafe, glass, pum, cls;dt, ai95, ai92, ai98;4
1;48.596049;44.421614;Волгоградская область, город Волгоград, улица Колосовая, 8 Д;317;wc, mag, cafe, glass, pum, cls;dt, ai95, ai92, ai98;4
1;48.515718;44.532582;Волгоградская область, город Волгоград, проспект Героев Сталинграда, 51 А;318;wc, mag, cafe, glass, pum, cls;dt, ai95, ai92, ai98;4
1;48.706404;44.485041;Волгоградская область, город Волгоград, улица Череповецкая, 8 А;319;wc, mag, cafe, glass, pum, cls;dt, ai98, ai95, ai92;4
1;48.787632;44.572773;Волгоградская область, город Волгоград, улица Еременко, 144 Б;320;wc, mag, cafe, glass, pum, cls;dt, ai98, ai95, ai92;4
1;48.70745;44.497199;Волгоградская область, город Волгоград, улица Глубокоовражная, 25;321;wc, mag, cafe, glass, pum, cls;dt, ai98, ai95, ai92;4
2;49.095551;44.805975;Волгоградская область, Дубовский район, с. Оленье, 72 км автодороги Сызрань-Саратов-Волгоград;322;wc, mag, pum ;dt, ai95, ai92;4
2;49.32607;45.14468;Волгоградская область, Быковский район, автодорога Саратов-Энгельс-Волгоград,  684 км;329;  mag ;dt, ai95, ai92;4
2;49.53494;45.26343;Волгоградская область, Быковский район, автотрасса Самара-Энгельс-Волгоград, 641 км;330;  mag ;dt, ai95, ai92;4
1;48.748803 ;44.468243;Волгоградская область,  город  Волгоград, улица  им. Землячки,  3А.;440;wc, mag;dt, ai95, ai92, sg;4
1;48.81801;44.759089;Волгоградская область, город Волжский, улица Заволжская, 2  А;421;wc, mag, glass, pum, cls;dt, ai95, ai92, ai98;4
3;48.818853;44.608937;Волгоградская область, город Волгоград, улица Пятая, 5;3401;;dt, ai95, ai92;4
3;48.492151;44.602306;Волгоградская область, город Волгоград, улица 40 лет  ВЛКСМ, 45 Б;3402;;dt, ai95, ai92;4
3;48.758543;44.451571;Волгоградская область, город Волгоград, ш. Авиаторов, 8 Л;3403;;dt, ai95, ai92;4
3;48.753714;44.452146;Волгоградская область, город Волгоград улица Ангарская, 196;3404;;dt, ai95, ai92;4
3;48.597212;44.420919;Волгоградская область, городВолгоград, улица Колосовая, 45;3405;;dt, ai95, ai92;4
3;48.601745;44.42785;Волгоградская область, город Волгоград, улица Кирова, 101 Г;3406;;dt, ai95, ai92;4
3;48.685691;44.315541;Волгоградская область, город Волгоград, р.поселок  Горьковский, улица Волгоградская, 170 Д;3407;;dt, ai95, ai92;4
3;48.52586;44.485782;Волгоградская область, город Волгоград, улица Лазоревая, 189 Б;3408;;dt, ai95, ai92;4
3;48.746389;44.46679;Волгоградская область,  город Волгоград, улица Землячки, 12 Б;3409;;dt, ai95, ai92;4
2;49.952154;40.531328;Воронежская область, Богучарский район примерно в 550 м по направлению на север от границы г. Богучар;125;wc, mag, cafe, pum, cls, shower;dt, ai98, ai95, ai92, sg;6
2;50.046214;40.466971;Воронежская область, Богучарский район, севернее съезда на село Филоново,ФАД М-4  Дон, 725 км, +400 м вправо  ;126;wc, mag, cafe, pum, cls;dt, ai98, ai95, ai92, sg;6
2;50.047655;40.468495;Воронежская область, Богучарский район, севернее съезда на село Филоново, ФАД М-4 Дон, 725 км, +350 м влево;127;wc, mag, cafe, glass, pum, cls;dt, ai98, ai95, ai92, sg;6
2;51.981305;39.221696;Воронежская область, Рамонский район, поселок Комсомольский, ФАД  М-4 Дон,  476 км, +450 м справа;128;wc, mag, cafe, glass, pum, cls;dt, ai98, ai95, ai92, sg;6
2;51.979609;39.229935;Воронежская область, Рамонский район, поселок Комсомольский, ул. Южная, 12,  ФАД  М-4 Дон, 476 км, +450 м слева;129;wc, mag, cafe, glass, pum, cls;dt, ai98, ai95, ai92, sg;6
2;51.651389;39.039781;Воронежская область, Семилукский район, автодорога Курск-Воронеж-Борисоглебск, 212 км ;130;wc,  mag, pum, cls;dt, ai95, ai92;6
1;51.64914;39.093908;Воронежская область, город Воронеж, Проспект Патриотов,  60 А;131;wc, mag, pum, cls;dt, ai95, ai92;6
2;51.692738;39.376905;Воронежская область,  Новоусманский р-н, с. Бабяково, автодорога Воронеж-Тамбов,  15 км, + 800 м  справа;298;wc, mag,  glass, pum, cls;dt, ai98, ai95, ai92;6
2;51.426366;39.563254;Воронежская область, ФАД М-4, 550 км справа;299;wc,  mag, pum, cls;dt, ai95, ai92;6
2;51.318948;39.614501;Воронежская область, Каширский район, ФАД М-4 Дон,  562 км, +600 м слева;300;wc, mag, cafe;dt, ai98, ai95, ai92;6
2;51.218197;42.111449;Воронежская область, Поворинский район, село Рождественское ,  ул. Крупской, 1А;301;wc, mag;dt, ai95, ai92;6
2;51.611872;41.973455;Воронежская область, Грибановский район, село Алексеевка, ул. Проезжая, 1;302;wc, mag;dt, ai95, ai92;6
2;51.429736;39.300673;Воронежская область, Каширский район, автодорога Воронеж-Нововоронеж,  29 км,  + 100 м справа;303; mag;dt, ai95, ai92;6
2;50.269974;39.256528;Воронежская область, Ольховатский район, поселок Большие Базы, улица Суворова, 154;305;wc, mag;dt, ai95, ai92;6
